speaker,text,minute_start,minute_end
Donald Trump,"No, it’s not a guarantee, but it will be by the end of the year.",,
Donald Trump,But I think it has a good chance.,,
Donald Trump,"There are two companies, I think within a matter of weeks and it will be distributed very quickly.",,
Kristen Welker,Can you tell us which companies?,,
Donald Trump,Johnson & Johnson is doing very well.,,
Donald Trump,Moderna is doing very well.,,
Donald Trump,Pfizer is doing very well and we have numerous others.,,
Donald Trump,"Then we also have others that we’re working on very closely with other countries, in particular Europe.",,
Kristen Welker,Let me follow up with you and because this is new information.,,
Kristen Welker,You have set a vaccine is coming soon within weeks now.,,
Kristen Welker,"Your own officials say, “It could take well into 2021 at the earliest for enough Americans to get vaccinated.” And even then they say, “The country will be wearing masks and distancing into 2022.” Is your timeline realistic?",,
Donald Trump,"No, I think my timeline is going to be more accurate.",,
Donald Trump,"I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular that’s the head of logistics and this is a very easy distribution for him.",,
Donald Trump,He’s ready to go.,,
Donald Trump,As soon as we have the vaccine and we expect to have a 100 million vials.,,
Donald Trump,"As soon as we have the vaccine, he’s ready to go.",,
Kristen Welker,"Vice President Biden, your reaction.",,
Kristen Welker,And just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government.,,
Kristen Welker,What steps would you take to give Americans confidence in a vaccine if it were approved?,,
Joe Biden,Make sure it’s totally transparent.,,
Joe Biden,"Have the scientists of the world see it, know it, look at it, go through all the processes.",,
Joe Biden,"And by the way, this is the same fellow who told you, “This is going to end by Easter” last time.",,
Joe Biden,"This is the same fellow who told you that, “Don’t worry, we’re going to end this by the summer.” We’re about to go into a dark winter, a dark winter and he has no clear plan.",,
Joe Biden,And there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year.,,
Kristen Welker,"President Trump, your reaction.",,
Kristen Welker,"He says, you have no plan.",,
Donald Trump,I don’t think we’re going to have a dark winter at all.,,
Donald Trump,We’re opening up our country.,,
Donald Trump,"We’ve learned and studied and understand the disease, which we didn’t at the beginning.",,
Donald Trump,"When I closed and banned China from coming in heavily infected and then ultimately Europe, but China was in January.",,
Donald Trump,"Months later, he was saying I was xenophobic.",,
Donald Trump,I did it too soon.,,
Donald Trump,"Now he’s saying, “Oh, I should have moved quicker,” but he didn’t move quicker.",,
Donald Trump,"He was months behind me, many months behind me.",,
Donald Trump,"And frankly, he ran the H1N1 swine flu and it was a total disaster.",,
Donald Trump,"Far less lethal, but it was a total disaster.",,
Donald Trump,"Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease.",,
Donald Trump,"Look, his own person who ran that for him, who, as you know, was his chief of staff said, “It was catastrophic.",,
Donald Trump,It was horrible.,,
Donald Trump,We didn’t know what we were doing.” Now he comes up and he tells us how to do this.,,
Donald Trump,"Also, everything that he said about the way every single move that he said we should make, that’s what we’ve done.",,
Donald Trump,We’ve done all of it.,,
Donald Trump,But he was way behind us.,,
Kristen Welker,"Vice President Biden, your response.",,
Joe Biden,"My response is he is xenophobic, but not because he shutdown access from China.",,
Joe Biden,And he did it late after 40 countries had already done that.,,
Joe Biden,"In addition to that, what he did, he made sure that we had 44 people that were in there in China trying to get the Wuhan to determine what exactly the source was.",,
Joe Biden,What did the president say in January?,,
Joe Biden,"He said, ” No.” He said, “He’s being transparent.",,
Joe Biden,The president of China is being transparent.,,
Joe Biden,We owe him a debt of gratitude.,,
Joe Biden,We have to thank him.”,,
Joe Biden,And then what happened was we started talking about using the Defense Act to make sure we go out and get whatever is needed out there to protect people.,,
Joe Biden,"And again, I go back to this.",,
Joe Biden,"He had nothing, he did virtually nothing.",,
Joe Biden,"And then he gets out of the hospital and he talks about, “Oh, don’t worry.",,
Joe Biden,It’s all going to be over soon.” Come on.,,
Joe Biden,There’s not another serious scientist in the world who thinks it’s going to be over soon.,,
Kristen Welker,"President Trump, your reaction?",,
Joe Biden,I didn’t say over soon.,,
Joe Biden,I say we’re learning to live with it.,,
Joe Biden,We have no choice.,,
Joe Biden,We can’t lock ourselves up in a basement like Joe does.,,
Joe Biden,He has the ability to lock himself up.,,
Joe Biden,I don’t know.,,
Joe Biden,"He’s obviously made a lot of money someplace, but he has this thing about living in a basement.",,
Joe Biden,People can’t do that.,,
Joe Biden,By the way I as the president couldn’t do that.,,
Joe Biden,I’d love to put myself in the basement or in a beautiful room in the White House and go away for a year and a half until it disappears.,,
Joe Biden,I can’t do that.,,
Joe Biden,"And Kirsten, every meeting I had, every meeting I had and I’d meet a lot of families, including gold star families and military families.",,
Joe Biden,"Every meeting I had and I had to meet them, I had to.",,
Joe Biden,It would be horrible to have canceled everything.,,
Joe Biden,"I said, “This is dangerous and you catch it.” And I caught it.",,
Joe Biden,I learned a lot.,,
Joe Biden,I learned a lot.,,
Joe Biden,"Great doctors, great hospitals.",,
Joe Biden,And now I recovered.,,
Joe Biden,99.9 of young people recover.,,
Joe Biden,99% of people recover.,,
Joe Biden,We have to recover-,,
Donald Trump,99% of people recover.,,
Donald Trump,We have to recover.,,
Donald Trump,We can’t close up our nation.,,
Donald Trump,"We have to open our school and we can’t close up our nation, or you’re not going to have a nation.",,
Kristen Welker,"And, of course, the CDC has said young people can get sick with COVID-19 and can pass it.",,
Kristen Welker,"Vice President Biden, I want to talk broadly about strategy though.",,
Joe Biden,Can I respond to that?,,
Kristen Welker,"30 seconds, please.",,
Kristen Welker,Then I have a question.,,
Joe Biden,"Number one, he says that we’re learning to live with it.",,
Joe Biden,People are learning to die with it.,,
Joe Biden,You folks home will have an empty chair at the kitchen table this morning.,,
Joe Biden,"That man or wife going to bed tonight and reaching over to try to touch, there out of habit, where their wife or husband was, is gone.",,
Joe Biden,Learning to live with it.,,
Joe Biden,Come on.,,
Joe Biden,"We’re dying with it, because he’s never said.",,
Joe Biden,"See, you said, “It’s dangerous.” When’s the last time?",,
Joe Biden,Is it really dangerous still?,,
Joe Biden,Are we dangerous.,,
Joe Biden,You tell the people it’s dangerous now.,,
Joe Biden,What should they do about the danger?,,
Joe Biden,"And you say, “I take no responsibility.”",,
Kristen Welker,Let me talk about your Tuesday-,,
Donald Trump,Excuse me.,,
Donald Trump,I take full responsibility.,,
Donald Trump,It’s not my fault that it came here.,,
Donald Trump,It’s China’s fault.,,
Donald Trump,And you know what?,,
Donald Trump,It’s not Joe’s fault that it came here either.,,
Donald Trump,It’s China’s fault.,,
Donald Trump,"They kept it from going into the rest of China for the most part, but they didn’t keep it from coming out to the world, including Europe and ourselves.",,
Kristen Welker,Vice President Biden.,,
Joe Biden,"The fact is that when we knew it was coming, when it hit, what happened?",,
Joe Biden,What did the President say?,,
Joe Biden,"He said, “Don’t worry.",,
Joe Biden,It’s going to go away.,,
Joe Biden,It’ll be gone by Easter.,,
Joe Biden,Don’t worry.,,
Joe Biden,Warm weather.,,
Joe Biden,Don’t worry.,,
Joe Biden,"Maybe inject bleach.” He said he was kidding when he said that, but a lot of people thought it was serious.",,
Joe Biden,"A whole range of things the President has said, even today, he thinks we are in control.",,
Joe Biden,"We’re about to lose 200,000 more people.",,
Kristen Welker,President Trump.,,
Donald Trump,"Look, perhaps just to finish this, I was kidding on that, but just to finish this, when I closed he said I shouldn’t have closed.",,
Donald Trump,And that went on for months.,,
Donald Trump,Nancy Pelosi said the same thing.,,
Donald Trump,"She was dancing on the streets in Chinatown, in San Francisco.",,
Donald Trump,"But when I closed, he said, “This is a terrible thing, you xenophobic.” I think he called me racist even, because I was closing it to China.",,
Donald Trump,Now he says I should have closed it earlier.,,
Donald Trump,"Joe, it doesn’t.",,
Joe Biden,I didn’t say either of those things.,,
Donald Trump,You certainly did.,,
Donald Trump,You certainly did.,,
Joe Biden,I talked about his xenophobia in a different context.,,
Joe Biden,It wasn’t about closing the border to Chinese coming to the United States.,,
Kristen Welker,"All right, I want to talk about both of your different strategies to handling this.",,
Donald Trump,"He thought I shouldn’t have closed the border, that’s obvious.",,
Kristen Welker,"Do you want to respond to that quickly, Vice President Biden?",,
Joe Biden,No.,,
Kristen Welker,Okay.,,
Kristen Welker,Let’s talk about your different strategies toward dealing with this.,,
Kristen Welker,Mr. Vice President you suggested you would support new shutdowns if scientists recommended it.,,
Kristen Welker,"What do you say to Americans who are fearful that the cost of shutdowns, the impact on the economy, the higher rates of hunger, depression, domestic, and substance abuse outweighs the risk of exposure to the virus?",,
Joe Biden,"What I would say is, I’m going to shut down the virus, not the country.",,
Joe Biden,"It’s his ineptitude that caused the country to have to shut down in large part, why businesses have gone under, why schools are closed, why so many people have lost their living, and why they’re concerned.",,
Joe Biden,Those other concerns are real.,,
Joe Biden,"That’s why he should have been, instead of in a sand trap at his golf course, he should have been negotiating with Nancy Pelosi and the rest of the Democrats and Republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity.",,
Kristen Welker,But you haven’t ruled out more shut downs?,,
Joe Biden,"Oh, well, no.",,
Joe Biden,"I’m not shutting down today, but there are … Look, you need standards.",,
Joe Biden,"The standard is, if you have a reproduction rate in a community that’s above a certain level, everybody says, “Slow up.",,
Joe Biden,More social distancing.,,
Joe Biden,Do not open bars and do not open gymnasiums.,,
Joe Biden,"Do not open until you get this under control, under more control.” But when you do open, give the people the capacity to be able to open and have the capacity to do it safely.",,
Joe Biden,"For example, schools.",,
Joe Biden,"Schools, they need a lot of money to be open.",,
Joe Biden,They need to deal with ventilation systems.,,
Joe Biden,"They need to deal with smaller classes, more teachers, more pods, and he’s refused to support that money, or at least up to now.",,
Kristen Welker,"Let’s talk about schools, President Trump-",,
Donald Trump,"I think we have to respond, if I might.",,
Kristen Welker,Please.,,
Kristen Welker,And then I have a follow-up.,,
Donald Trump,"Thank you, and I appreciate that.",,
Donald Trump,"Look, all he does is talk about shut downs.",,
Donald Trump,But forget about him.,,
Donald Trump,"His Democrat Governors, Cuomo in New York, you look at what’s going on in California, you look at Pennsylvania, North Carolina, Democrats, Democrats all, they’re shut down so tight and they’re dying.",,
Donald Trump,They’re dying.,,
Donald Trump,And he supports all these people.,,
Donald Trump,All he talks about is shut downs.,,
Donald Trump,"No, we’re not going to shut down.",,
Donald Trump,And we have to open our schools.,,
Donald Trump,"And it’s like, as an example, I have a young son, he also tested positive.",,
Donald Trump,"By the time I spoke to the doctor the second time, he was fine.",,
Donald Trump,It just went away.,,
Donald Trump,"Young people, I guess, it’s their immune system.",,
Kristen Welker,"Let me follow up with you, President Trump.",,
Kristen Welker,You’ve demanded schools open in person and insist they can do it safely.,,
Kristen Welker,"But just yesterday, Boston became the latest city to move its public school system entirely online after a coronavirus spike.",,
Kristen Welker,What is your message to parents who worry that sending their children to school will endanger not only their kids but also their teachers and family?,,
Donald Trump,I want to open the schools.,,
Donald Trump,The transmittal rate to the teachers is very small.,,
Donald Trump,But I want to open the schools.,,
Donald Trump,We have to open our country.,,
Donald Trump,We’re not going to have a country.,,
Donald Trump,You can’t do this.,,
Donald Trump,We can’t keep this country closed.,,
Donald Trump,This is a massive country with a massive economy.,,
Donald Trump,People are losing their jobs.,,
Donald Trump,They’re committing suicide.,,
Donald Trump,"There’s depression, alcohol, drugs at a level that nobody’s ever seen before.",,
Donald Trump,"There’s abuse, tremendous abuse.",,
Donald Trump,We have to open our country.,,
Donald Trump,"I’ve said it often, the cure cannot be worse than the problem itself, and that’s what’s happening.",,
Donald Trump,And he wants to close down.,,
Donald Trump,He’ll close down the country if one person in our massive bureaucracy says we should close it down.,,
Kristen Welker,"Vice President Biden, your response.",,
Joe Biden,Simply not true.,,
Joe Biden,We ought to be able to walk and chew gum at the same time.,,
Joe Biden,"We ought to be able to safely open, but they need resources to open?",,
Joe Biden,"You need to be able to, for example, if you’re going to open a business, have social distancing within the business.",,
Joe Biden,"You need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another.",,
Joe Biden,You need to be in a position where you can take testing rapidly and know whether the person is in fact infected.,,
Joe Biden,You need to be able to trace.,,
Joe Biden,You need to be able to provide all the resources that are needed to do this.,,
Joe Biden,And that is not inconsistent with saying that we’re going to make sure that we’re going to open safely.,,
Joe Biden,"And by the way, all you teachers out there, not that many of you are going to die, so don’t worry about it.",,
Joe Biden,So don’t worry about it.,,
Joe Biden,Come on.,,
Kristen Welker,"President Trump, let me follow up with you quickly.",,
Donald Trump,"By the way, I will say this, If you go and look at what’s happened to New York, it’s a ghost town.",,
Donald Trump,It’s a ghost town.,,
Donald Trump,"And when you talk about plexiglass, these are restaurants that had dying.",,
Donald Trump,These are businesses with no money.,,
Donald Trump,"Putting up plexiglass is unbelievably expensive, and it’s not the answer.",,
Donald Trump,"I mean, you’re going to sit there in a cubicle wrapped around with plastic.",,
Donald Trump,"These are businesses that are dying, Joe.",,
Donald Trump,You can’t do that to people.,,
Donald Trump,You just can’t.,,
Donald Trump,Take a look at New York and what’s happened to my wonderful city.,,
Donald Trump,"For so many years, I loved it.",,
Donald Trump,It was vibrant.,,
Donald Trump,It’s dying.,,
Donald Trump,Everyone’s leaving New York.,,
Kristen Welker,Vice President Biden.,,
Joe Biden,"Take a look at what New York has done in terms of turning the curve down, in terms of the number of people dying.",,
Joe Biden,"And I don’t look at this in terms of the way he does, blue states and red states.",,
Joe Biden,They’re all the United States.,,
Joe Biden,And look at the states that are having such a spike in the coronavirus.,,
Joe Biden,"They’re the red states, they’re the states in the Midwest, they’re the states in the upper Midwest.",,
Joe Biden,That’s where the spike is occurring significantly.,,
Joe Biden,But they’re all Americans.,,
Joe Biden,They’re all Americans.,,
Joe Biden,"And what we have to do is say, wear these masks, number one.",,
Joe Biden,Make sure we get the help that the businesses need.,,
Joe Biden,That money’s already been passed to do that.,,
Joe Biden,"It’s been out there since the beginning of the summer, and nothing’s happened.",,
Donald Trump,"Kristen, New York has lost more than 40,000 people, 11,000 people in nursing homes.",,
Kristen Welker,"President Trump, what about-",,
Donald Trump,"When you say spike, take a look at what’s happening in Pennsylvania where they’ve had it closed.",,
Donald Trump,"Take a look at what’s happening with your friend in Michigan, where her husband’s the only one allowed to do anything.",,
Donald Trump,It’s been like a prison.,,
Donald Trump,"Now, it was just ruled unconstitutional.",,
Donald Trump,"Take a look at North Carolina, they’re having spikes and they’ve been closed, and they’re getting killed financially.",,
Donald Trump,"We can’t let that happen, Joe.",,
Donald Trump,You can’t let that happen.,,
Donald Trump,We have to open up.,,
Donald Trump,And we understand the disease.,,
Donald Trump,We have to protect our seniors.,,
Donald Trump,We have to protect our elderly.,,
Donald Trump,We have to protect especially our seniors with heart problems and diabetes problems.,,
Donald Trump,And we will protect.,,
Donald Trump,We have the best testing in the world by far.,,
Donald Trump,That’s why we have so many cases.,,
Kristen Welker,Let me follow up with you before we move on to our next section.,,
Kristen Welker,"President Trump, this week, you called Dr. Anthony Fauci, the nation’s best known infectious disease expert “a disaster.” You described him and other medical experts as “idiots.” If you’re not listening to them, who are you listening to?",,
Donald Trump,"I’m listening to all of them, including Anthony.",,
Donald Trump,I get along very well with Anthony.,,
Donald Trump,"… think to all of them, including Anthony.",,
Donald Trump,"I get along very well with Anthony, but he did say, “Don’t wear masks.” He did say, as you know, “This is not going to be a problem.” I think he’s a Democrat, but that’s okay.",,
Donald Trump,"He said, “This is not going to be a problem.",,
Donald Trump,"We are not going to have a problem at all.” When Joe says that I said, Anthony Fauci said, and others, and many others.",,
Donald Trump,"And I’m not knocking him, nobody knew.",,
Donald Trump,"Look, nobody knew what this thing was.",,
Donald Trump,"Nobody knew where it was coming from, what it was.",,
Donald Trump,We’ve learned a lot.,,
Donald Trump,"But Anthony said “Don’t wear masks,” now he wants to wear masks.",,
Donald Trump,"Anthony also said, if you look back, exact words, here’s his exact words.",,
Donald Trump,“This is no problem.,,
Donald Trump,This is going to go away soon.” So he’s allowed to make mistakes.,,
Donald Trump,He happens to be a good person.,,
Kristen Welker,"Vice President Biden, your response quickly, and then we’re going to move on to the next section.",,
Joe Biden,My response is that think about what the President knew in January and didn’t tell the American people.,,
Joe Biden,"He was told this was a serious virus that spread in the air, and it was much worse, much worse, than the flu.",,
Joe Biden,"He went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn’t want to tell us.",,
Joe Biden,He didn’t want to tell us because he didn’t want us to panic.,,
Joe Biden,He didn’t want us… Americans don’t panic.,,
Joe Biden,He panicked.,,
Joe Biden,"But guess what, in the meantime, we find out in the New York Times the other day, that in fact his folks went to Wall Street and said, “This is a really dangerous thing.” And a memo out of that meeting — not from his administration, but from some of the brokers — said, “Sell short, because we’ve got to get moving.",,
Joe Biden,It’s a dangerous problem.”,,
Donald Trump,"Well, this is what I-",,
Kristen Welker,I’m going to give you 30 seconds to respond and then we’re going to move on.,,
Donald Trump,[crosstalk 00:28:34] I don’t know.,,
Donald Trump,Somebody went through Wall Street.,,
Donald Trump,You’re the one that takes all the money from Wall Street.,,
Donald Trump,I don’t take it.,,
Joe Biden,I haven’t-,,
Donald Trump,"Joe, you have raised a lot of money, tremendous amounts of money.",,
Donald Trump,"And every time you raise money deals are made, Joe.",,
Donald Trump,I could raise so much more money.,,
Donald Trump,"As President, and as somebody that knows most of those people, I could call the heads of Wall Street, the heads of every company in America.",,
Donald Trump,I would blow away every record.,,
Donald Trump,But I don’t want to do that because it puts me in a bad position.,,
Donald Trump,And then you bring up Wall Street?,,
Donald Trump,"You shouldn’t be bringing up Wall Street, because you’re the one that takes the money from Wall Street, not me.",,
Donald Trump,I could blow away your records like you wouldn’t believe.,,
Donald Trump,We don’t need money.,,
Donald Trump,We have plenty of money.,,
Donald Trump,"In fact, we beat Hillary Clinton with a tiny fraction of the money that she was able to [crosstalk 00:29:15]",,
Kristen Welker,"All right, gentlemen, we’re going to move on.",,
Donald Trump,Don’t tell me about [crosstalk 00:29:17].,,
Joe Biden,"Average contribution, $43.",,
Kristen Welker,All right.,,
Kristen Welker,"We’re going to move on to our next section, which is national security.",,
Kristen Welker,And I do want to start with the security of our elections and some breaking news from overnight.,,
Kristen Welker,"Just last night, top intelligence officials confirmed again that both Russia and Iran are working to influence this election.",,
Kristen Welker,"Both countries have obtained US voter registration information, these officials say, and Iran sent intimidating messages to Florida voters.",,
Kristen Welker,"This question goes to you, Mr. Vice President.",,
Kristen Welker,What would you do to put an end to this threat?,,
Kristen Welker,"You have two minutes, uninterrupted.",,
Joe Biden,I made it clear and I asked everyone else to take the pledge.,,
Joe Biden,"I made it clear that any country, no matter who it is, that interferes in American elections will pay a price.",,
Joe Biden,They will pay a price.,,
Joe Biden,"And it’s been overwhelmingly clear this election — I won’t even get into the last one — this election, that Russia has been involved, China’s been involved to some degree, and now we learn that Iran is involved.",,
Joe Biden,They will pay a price if I’m elected.,,
Joe Biden,They’re interfering with American sovereignty.,,
Joe Biden,That’s what’s going on right now.,,
Joe Biden,They’re interfering with American sovereignty.,,
Joe Biden,"And to the best of my knowledge, I don’t think the President has said anything to Putin about it.",,
Joe Biden,I don’t think he’s talking to them a lot.,,
Joe Biden,I don’t think he’s said a word.,,
Joe Biden,"I don’t know why he hasn’t said a word to Putin about it, and I don’t know what he has recently said, if anything, to the Iranians.",,
Joe Biden,My guess is he’d probably be more outspoken with regard to the Iranians.,,
Joe Biden,"But the point is this, folks.",,
Joe Biden,We are in a situation where we have foreign countries trying to interfere in the outcome of our election.,,
Joe Biden,"His own National Security Advisor told him that what is happening with his buddy… Well, I shouldn’t… Well, I will.",,
Joe Biden,His buddy Rudy Giuliani.,,
Joe Biden,He’s being used as a Russian pawn.,,
Joe Biden,He’s being fed information that is Russian that is not true.,,
Joe Biden,And then what happens?,,
Joe Biden,Nothing happens.,,
Joe Biden,"And then you find out that everything that’s going on here, about Russia is wanting to make sure that I do not get elected the next President of the United States, because they know I know them, and they know me.",,
Joe Biden,"I don’t understand why this President is unwilling to take on Putin when he’s actually paying bounties to kill American soldiers in Afghanistan, when he’s engaged in activities that are trying to destabilize all of NATO.",,
Joe Biden,"I don’t know why he doesn’t do it, but it’s worth asking the question.",,
Joe Biden,Why isn’t that being done?,,
Joe Biden,"Any country that interferes with us will, in fact, pay a price, because they’re affecting our sovereignty.",,
Kristen Welker,"President Trump, same question to you.",,
Kristen Welker,[crosstalk 00:31:48] Let me ask the question.,,
Kristen Welker,You’re going to have two minutes to respond.,,
Kristen Welker,"For two elections in a row now, there has been substantial interference from foreign adversaries.",,
Kristen Welker,What would you do in your next term to put an end to this?,,
Kristen Welker,"Two minutes, uninterrupted.",,
Donald Trump,"Well, let me respond to the first part, as Joe answered.",,
Donald Trump,"Joe got $3.5 million from Russia and it came through Putin, because he was very friendly with the former mayor of Moscow and it was the mayor of Moscow’s wife.",,
Donald Trump,And you got $3.5 million.,,
Donald Trump,Your family got $3.5 million.,,
Donald Trump,"And someday you’re going to have to explain, why did you get three and a half?",,
Donald Trump,I never got any money from Russia.,,
Donald Trump,I don’t get money from Russia.,,
Donald Trump,"Now, about your thing last night.",,
Donald Trump,I knew all about that.,,
Donald Trump,"And through John — who is John Ratcliffe, who is fantastic, DNI — he said the one thing that’s common to both of them.",,
Donald Trump,"They both want you to lose because there has been nobody tougher to Russia between the sanctions, nobody tougher than me on Russia, between the sanctions, between all of what I’ve done with NATO.",,
Donald Trump,I’ve got the NATO countries to put up an extra $130 billion going to $420 billion a year.,,
Donald Trump,That’s to guard against Russia.,,
Donald Trump,"I sold, while he was selling pillows and sheets, I sold tank busters to Ukraine.",,
Donald Trump,There has been nobody tougher on Russia than Donald Trump.,,
