speaker,text,minute_start,minute_end
Savannah Guthrie,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this.",,
Savannah Guthrie,And I think we can clear it up.,,
Donald Trump,"Yeah, and there shouldn’t be.",,
Savannah Guthrie,"Your first positive test was Thursday, October 1st, okay?",,
Savannah Guthrie,When was your last negative test?,,
Savannah Guthrie,When did you last remember having a negative test?,,
Donald Trump,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before.",,
Savannah Guthrie,Did you test the day of the debate?,,
Donald Trump,"I don’t know, I don’t even remember.",,
Donald Trump,I test all the time.,,
Donald Trump,"But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive.",,
Donald Trump,That’s when I first found out about it.,,
Savannah Guthrie,"Well back to the debate, because the debate commission’s rules, it was the honor system.",,
Donald Trump,Yeah.,,
Savannah Guthrie,Would be that you would come with a negative test.,,
Savannah Guthrie,You say you don’t know if you’ve got a test on the day of the debate?,,
Donald Trump,I had no problem.,,
Donald Trump,"Again, the doctors do it.",,
Donald Trump,I don’t ask them.,,
Donald Trump,I test all the time.,,
Donald Trump,And they-,,
Savannah Guthrie,"Did you take a test, though, on the day of the debate?",,
Donald Trump,"If you ask as the doctor, they’ll give you a perfect answer.",,
Donald Trump,But they take a test and I leave and I go about my business.,,
Savannah Guthrie,"So you did you take a test on the day of the debate, I guess is the bottom line?",,
Donald Trump,"I probably did, and I took a test the day before and the day before, and I was always in great shape, and I was in great shape for the debate.",,
Donald Trump,"And it was only after the debate, a period of time after the debate that I said, “That’s interesting.” And they took a test and it tested positive.",,
Savannah Guthrie,"Just to button it up, do you take a test every single day?",,
Donald Trump,No.,,
Donald Trump,"No, but I take a lot of tests.",,
Savannah Guthrie,Okay.,,
Savannah Guthrie,And you don’t know if you took a test the day of the debate?,,
Donald Trump,"Possibly I did, possibly I didn’t.",,
Donald Trump,"But the doctor has very accurate information and it’s not only that doctor, it’s many doctors.",,
Donald Trump,"The one thing, if you’re President, you have a lot of doctors you’re surrounded by.",,
Donald Trump,But I was in great shape for the debate.,,
Donald Trump,"And sometime after the debate, I tested positive, then that’s when they decided to, let’s go.",,
Savannah Guthrie,"Okay, good.",,
Savannah Guthrie,I hopefully provided some clarity for folks.,,
Savannah Guthrie,Let’s talk about the event that was held at the White House on the Saturday before you tested positive.,,
Savannah Guthrie,"Subsequent to that, 13 people connected to that event tested positive.",,
Savannah Guthrie,"There was an outdoor reception, you’ve seen the pictures.",,
Savannah Guthrie,There was an indoor reception.,,
Savannah Guthrie,People were not wearing masks.,,
Savannah Guthrie,"My question to you is, at this point in the pandemic, knowing what we know, shouldn’t you have known better?",,
Savannah Guthrie,Shouldn’t the White House know better than to hold an event like that?,,
Donald Trump,"Well, they do a lot of testing in the White House, they test everybody including me, but they test everybody.",,
Donald Trump,And something happened.,,
Donald Trump,"But as far as the mask is concerned, I’m good with masks.",,
Donald Trump,I’m okay with masks.,,
Donald Trump,"I tell people, wear a mask.",,
Donald Trump,"But just the other day, they came out with a statement that 85% of the people that wear masks catch it.",,
Donald Trump,So this is a very-,,
Savannah Guthrie,It didn’t say that.,,
Savannah Guthrie,I know that study.,,
Donald Trump,"That’s what I heard, and that’s what I saw.",,
Donald Trump,"And regardless, but everybody’s tested and they’re tested often.",,
Donald Trump,"And I also knew that, hey, I’m President.",,
Donald Trump,I have to see people.,,
Donald Trump,I can’t be in a basement.,,
Donald Trump,I can’t be in a room.,,
Donald Trump,I can’t be… I have to be out.,,
Savannah Guthrie,"You can see people with a mask, though, right?",,
Donald Trump,"I can, but people with masks are catching it all the time.",,
Donald Trump,"I mean, if you look at the Governor of Virginia, he was known for a mask.",,
Donald Trump,"If you look at Thom Tillis, a great guy, he always had a mask, and they caught it.",,
Savannah Guthrie,"Well, there are pictures of Thom Tillis, actually with one of Judge Barrett’s kids not wearing a mask.",,
Savannah Guthrie,"But you know Chris Christie, he was part of your debate prep.",,
Donald Trump,Yeah.,,
Savannah Guthrie,"He was, I believe at that event.",,
Savannah Guthrie,"He came out tonight, he was sick, very sick.",,
Savannah Guthrie,He was in the hospital for about a week.,,
Donald Trump,"Yes, I know this.",,
Savannah Guthrie,"He came out tonight and said, “I was wrong not to wear a mask.”",,
Donald Trump,"Well, I mean, he has to say that.",,
Donald Trump,"I think it’s great, he’s a friend of mine.",,
Donald Trump,He’s a good guy.,,
Donald Trump,"And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing.",,
Donald Trump,"And every time I go into a crowd, I was with the parents of our fallen heroes.",,
Donald Trump,These people are the most incredible people.,,
Donald Trump,"And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you.",,
Savannah Guthrie,"Now, there was an event with the gold star families the day after the Supreme Court event.",,
Donald Trump,"There was, exactly right.",,
Donald Trump,We had a gold star event with the most incredible people you’ve ever seen.,,
Donald Trump,"And I could have chosen not to talk to them, or to keep everybody away.",,
Donald Trump,And you know what?,,
Donald Trump,"I don’t think that’s probably where it was caught, but maybe it was.",,
Savannah Guthrie,"I going to say, you bring it up, you brought it up yourself.",,
Savannah Guthrie,"I mean, are you trying to suggest that?",,
Savannah Guthrie,Do you believe a grieving military family gave you a COVID?,,
Donald Trump,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from.",,
Donald Trump,"But as the President, I have to be out there.",,
Donald Trump,I also know-,,
Savannah Guthrie,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies.",,
Donald Trump,I know this.,,
Savannah Guthrie,Your rallies don’t require masks.,,
Donald Trump,"I mean, let’s see, Kamala.",,
Donald Trump,"She’s got people now, people have it, and I’m not blaming her.",,
Donald Trump,"I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there.",,
Donald Trump,I can’t be in a basement.,,
Donald Trump,I can’t be locked in a very beautiful room someplace in the White House.,,
Donald Trump,"And I want to see the gold star families, and I want to see everybody.",,
Donald Trump,"And I also say to people all the time, it’s risky doing it.",,
Donald Trump,It is risky doing it.,,
Savannah Guthrie,"But as President, you’re right.",,
Savannah Guthrie,"You want to be a leader, but you also are a leader and a setter of an example.",,
Savannah Guthrie,"And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof.",,
Savannah Guthrie,But that will-,,
Donald Trump,But many people are catching it.,,
Donald Trump,"Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen.",,
Donald Trump,But many people are getting this.,,
Donald Trump,"And I mean, nobody’s being blamed.",,
Donald Trump,"Everybody is working hard to get this thing out of our country, get it out of the world.",,
Donald Trump,"Look at what’s going on in Europe, massive spikes.",,
Donald Trump,"They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy.",,
Donald Trump,There’s tremendous spikes.,,
Savannah Guthrie,"But our death rate is worse than, well, not Spain, but those other countries.",,
Donald Trump,"Well, I have thing right here that will tell you exactly the opposite.",,
Savannah Guthrie,Me too.,,
Donald Trump,"The UK is up 2500%, because I knew you’d be doing this.",,
Donald Trump,I know you very well.,,
Donald Trump,The UK is up 2500%.,,
Donald Trump,The EU is up 722%.,,
Donald Trump,And the United States is down 21%.,,
Savannah Guthrie,But we have per… Our deaths per capita is among the highest of all-,,
Donald Trump,Excess mortality.,,
Savannah Guthrie,I’m sorry?,,
Donald Trump,"Excess mortality, we’re a winner on the excess mortality.",,
Donald Trump,And what we’ve done has been amazing.,,
Donald Trump,And we have done an amazing job.,,
Donald Trump,"And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming.",,
Donald Trump,"And I’ll tell you what, one thing.",,
Donald Trump,"When I got it, I had a choice.",,
Donald Trump,"Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron.",,
Donald Trump,and Eli Lilly makes something that’s supposed to be incredible.,,
Donald Trump,And I think that maybe I wouldn’t be doing this discussion with you right now.,,
Donald Trump,"We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah.",,
Savannah Guthrie,I want to pick up on something you just said.,,
Savannah Guthrie,You said we’re rounding the corner.,,
Donald Trump,"I believe we’re rounding the corner, yes.",,
Savannah Guthrie,10% of the country approximately has had COVID.,,
Savannah Guthrie,"That means 80%-90%, 90%, let’s do the math, is still vulnerable.",,
Donald Trump,"Right, right.",,
Donald Trump,That’s right.,,
Savannah Guthrie,"There’s been some talk, including from the White House lately that perhaps it approves of what’s called herd immunity.",,
Savannah Guthrie,That’s where you basically just let young people and everybody gets sick.,,
Savannah Guthrie,You try to protect the old people and those who are sick.,,
Savannah Guthrie,"And hopefully, it gets up to a certain level, and now we’re all immune.",,
Donald Trump,Yeah.,,
Savannah Guthrie,So let’s just be clear about it.,,
Savannah Guthrie,It also means more deaths.,,
Savannah Guthrie,Do you support herd immunity as a strategy?,,
Savannah Guthrie,"Essentially, just let people get sick?",,
Donald Trump,The cure can not be worse than the problem itself.,,
Donald Trump,We did the right thing.,,
Donald Trump,"We were expected to lose 2,200,000 people, and maybe more than that.",,
Donald Trump,"We’re at 210,000 people.",,
Donald Trump,"One person is too much, it should have never happened because of China.",,
Donald Trump,It happened because of China.,,
Donald Trump,And you have to get that and understand that.,,
Donald Trump,But it shouldn’t have happened.,,
Donald Trump,"But we were expected to lose, if you look at the original charts from original doctors who are respected by everybody, 2,200,00 people.",,
Savannah Guthrie,"That 2 million figure, though, is if you literally did nothing.",,
Donald Trump,We saved 2 million people.,,
Savannah Guthrie,"The 2 million figure is if you did absolutely nothing, it would be 2 million.",,
Savannah Guthrie,"The question is, should the deaths be better than 200,000, when-",,
Donald Trump,"I don’t know, let me tell you what is happening.",,
Donald Trump,"I left North Carolina, which I love.",,
Donald Trump,I left Pennsylvania.,,
Donald Trump,We won a big case in Michigan because that governor has a lockdown where nobody but her husband can do anything.,,
Donald Trump,"He can go boating and do whatever he wants, but nobody else can.",,
Donald Trump,The fact is we’re winning all these cases because it’s unconstitutional what they’re doing.,,
Donald Trump,And I think they’re doing it for political reasons.,,
Donald Trump,"But the fact is the cure, you can’t let this continue to go on with the lockdowns.",,
Donald Trump,"And I believe that on November 4th, you’re going to have a lot of these governors.",,
Donald Trump,Look at what’s happening to New York.,,
Donald Trump,New York is a mess.,,
Donald Trump,"They lost almost 40,000 people.",,
Donald Trump,They have a lockdown like you’ve never seen.,,
Donald Trump,"Now they’re open, it’s like a ghost town.",,
Donald Trump,"And Savannah, it’s very important.",,
Donald Trump,"People are leaving New York by the thousands, and you’re going to have a hard time ever building it up again.",,
Donald Trump,"So that cure, that so called cure that you talk about, it can’t be worse than the problem.",,
Donald Trump,The problem is a bad problem.,,
Savannah Guthrie,We’ve got more questions.,,
Donald Trump,… than the problem.,,
Donald Trump,The problem is a bad problem.,,
Savannah Guthrie,We’ve got more questions on COVID-,,
Donald Trump,"Okay, fine.",,
Savannah Guthrie,"… so let’s drop it, for now.",,
Savannah Guthrie,"We were supposed to, as mentioned, be watching you on a debate stage right now.",,
Savannah Guthrie,"We’re not doing that, so let’s clear up a few things from the last one.",,
Savannah Guthrie,You were asked point blank to denounce white supremacy.,,
Savannah Guthrie,"In the moment, you didn’t.",,
Savannah Guthrie,You asked some follow up questions.,,
Savannah Guthrie,"“Who, specifically?” A couple of days later, on a different show-",,
Donald Trump,"Oh, you always do this.",,
Savannah Guthrie,… you denounced white supremacy.,,
Donald Trump,"No, you always do this.",,
Savannah Guthrie,My question to you is-,,
Donald Trump,"You’ve done this to me, and everybody-",,
Savannah Guthrie,… why does it seem like-,,
Donald Trump,I denounce white supremacy.,,
Donald Trump,Okay?,,
Savannah Guthrie,"You did, two days later.",,
Donald Trump,"I’ve denounced white supremacy, for years, but you always do it.",,
Donald Trump,You always start off with the question.,,
Donald Trump,"You didn’t ask Joe Biden, whether or not he denounces Antifa.",,
Donald Trump,"I watched him on the same basic show with Lester Holt, and he was asking questions like Biden was a child.",,
Savannah Guthrie,"Well, so this is a little bit of a dodge.",,
Donald Trump,"So, are you ready?",,
Donald Trump,Are you… Wait.,,
Donald Trump,Are you listening?,,
Donald Trump,I denounce white supremacy.,,
Savannah Guthrie,Okay.,,
Donald Trump,What’s your next question?,,
Savannah Guthrie,"Do you feel, it feels sometimes you’re hesitant to do so, like you wait a beat.",,
Donald Trump,Hesitant?,,
Donald Trump,Here we go again.,,
Donald Trump,"Every time… In fact, my people came, “I’m sure they’ll ask you the white supremacy question.” I denounce white supremacy.",,
Savannah Guthrie,Okay.,,
Donald Trump,"And frankly, you want to know something?",,
Donald Trump,"I denounce Antifa, and I denounce these people on the left that are burning down our cities, that are run by Democrats who don’t know what they’re doing-",,
Savannah Guthrie,"All right, while we’re denouncing, let me ask you about QAnon.",,
Savannah Guthrie,"It is this theory that Democrats are a satanic pedophile ring and that you are the savior, of that.",,
Savannah Guthrie,"Now can you just, once and for all, state that that is completely not true, and-",,
Donald Trump,"So, I know [crosstalk 00:18:35]-",,
Savannah Guthrie,… disavow QAnon-,,
Donald Trump,Yeah.,,
Savannah Guthrie,… in its entirety?,,
Donald Trump,I know nothing about QAnon.,,
Savannah Guthrie,I just told you.,,
Donald Trump,I know very little.,,
Donald Trump,"You told me, but what you tell me, doesn’t necessarily make it fact.",,
Donald Trump,I hate to say that.,,
Donald Trump,I know nothing about it.,,
Donald Trump,I do know they are very much against pedophilia.,,
Donald Trump,They fight it very hard.,,
Donald Trump,But I know nothing about it.,,
Donald Trump,If you’d like me to-,,
Savannah Guthrie,They believe that it is a Satanic cult run by the deep state.,,
Donald Trump,… study the subject.,,
Donald Trump,I’ll tell you what I do know about.,,
Donald Trump,"I know about Antifa, and I know about the radical left, and I know how violent they are and how vicious they are.",,
Donald Trump,"And I know how they are burning down cities run by Democrats, not run by Republicans.",,
Savannah Guthrie,"Republican Senator Ben Sasse said, quote, “QAnon is nuts and real leaders call conspiracy theories, conspiracy theories.”",,
Donald Trump,He may be right.,,
Savannah Guthrie,"Why not just say, it’s crazy and not true?",,
Donald Trump,Can I be honest?,,
Donald Trump,He may be right.,,
Donald Trump,I just don’t know about QAnon.,,
Savannah Guthrie,You do know.,,
Donald Trump,I don’t know.,,
Donald Trump,"No, I don’t know.",,
Donald Trump,I don’t know.,,
Donald Trump,You tell me all about it.,,
Savannah Guthrie,Let me ask you another thing.,,
Donald Trump,Let’s waste the whole show.,,
Donald Trump,You start off with white supremacy.,,
Donald Trump,I denounce it.,,
Donald Trump,You start off with something else.,,
Donald Trump,Let’s go.,,
Donald Trump,Keep asking me these questions.,,
Donald Trump,But let me just-,,
Savannah Guthrie,"Okay, I do have one more in this vein.",,
Donald Trump,… let me just tell you.,,
Donald Trump,"What I do hear about it, is they are very strongly against pedophilia.",,
Donald Trump,And I agree with that.,,
Donald Trump,"I mean, I do agree with that-",,
Savannah Guthrie,Okay.,,
Donald Trump,… and I agree with it very strongly.,,
Savannah Guthrie,But there’s not a Satanic pedophile cult being run by-,,
Donald Trump,I have no idea.,,
Donald Trump,I know nothing about them.,,
Savannah Guthrie,You don’t know that?,,
Savannah Guthrie,Okay.,,
Donald Trump,"No, I don’t know that.",,
Savannah Guthrie,"You, just this week-",,
Donald Trump,"And neither do you, know that.",,
Savannah Guthrie,Okay.,,
Savannah Guthrie,"Just this week, you retweeted-",,
Donald Trump,Why aren’t you asking me about Antifa?,,
Donald Trump,Why aren’t you asking me about the radical left?,,
Savannah Guthrie,"Because you just, because you’re volunteering it.",,
Donald Trump,"Why aren’t you asking Joe Biden questions about, why doesn’t he condemn Antifa?",,
Donald Trump,Why does he say it doesn’t exist?,,
Savannah Guthrie,"Because you’re here, before me.",,
Donald Trump,"Antifa, no, excuse me.",,
Donald Trump,That’s so cute.,,
Donald Trump,Antifa exists.,,
Donald Trump,"They’re vicious, they’re violent.",,
Donald Trump,"They kill people, and they’re burning down our cities.",,
Donald Trump,And they happen to be radical left.,,
Savannah Guthrie,"Just this week, you retweeted to your 87 million followers, a conspiracy theory that Joe Biden orchestrated to have SEAL Team Six, the Navy SEAL Team Six, killed to cover up the fake death of Bin Laden.",,
Savannah Guthrie,"Now, why would you send a lie like that to your followers?",,
Donald Trump,"I know nothing about it, can I [crosstalk 00:20:36]-",,
Savannah Guthrie,You retweeted it.,,
Donald Trump,That was a retweet.,,
Donald Trump,That was an opinion of somebody-,,
Savannah Guthrie,But-,,
Donald Trump,….,,
Donald Trump,and that was a retweet.,,
Donald Trump,I’ll put it out there.,,
Donald Trump,People can decide for themselves.,,
Donald Trump,I don’t take a position.,,
Savannah Guthrie,"I don’t get that, you’re the President.",,
Savannah Guthrie,"You’re not like, someone’s crazy uncle who can just-",,
Donald Trump,"No, no.",,
Donald Trump,"No, no.",,
Savannah Guthrie,"… retweet, whatever.",,
Donald Trump,That was a retweet.,,
Donald Trump,And I do a lot of retweets.,,
Donald Trump,"And frankly, because the media is so fake, and so corrupt, if I didn’t have social media… I don’t call it Twitter, I call it social media.",,
Donald Trump,I wouldn’t be able to get the word out.,,
Donald Trump,And the word is-,,
Savannah Guthrie,"Well, the word is false.",,
Donald Trump,… and you know what the word is?,,
Donald Trump,The word is very simple.,,
Donald Trump,"We’re building our country, stronger and better than it’s ever been before.",,
Savannah Guthrie,Let’s stop-,,
Donald Trump,And that’s what’s happening.,,
Donald Trump,And everybody knows it.,,
Savannah Guthrie,"Okay, we’ve got a bunch of questions for you.",,
Donald Trump,You know what else the word is?,,
Donald Trump,We’re winning in a lot of states.,,
Savannah Guthrie,Okay.,,
Donald Trump,We’re winning in a lot of States.,,
Donald Trump,You’re going to see that.,,
Savannah Guthrie,"Well, let me ask… Okay.",,
Savannah Guthrie,"I’m glad you brought up the election, because I do want to ask about that.",,
Savannah Guthrie,That’s another kind of leftover item.,,
Savannah Guthrie,"A lot of people have asked you, will you accept a peaceful transfer of power?",,
Savannah Guthrie,"You have said, repeatedly, “The only way we lose this election is, if it is rigged.” Now, that is simply not true.",,
Savannah Guthrie,"The fact is, either candidate can lose fair and square, without ballot fraud.",,
Donald Trump,"Sure, they can.",,
Donald Trump,And do you know what?,,
Savannah Guthrie,"So, will you accept the results of the election?",,
Donald Trump,"Win or lose, that’s the way I want it to be.",,
Donald Trump,"But when I see thousands of ballots, right?",,
Donald Trump,"Unsolicited ballots, being given out by the millions, and thousands of them are dumped in dumpsters.",,
Donald Trump,"And when you see ballots with the name Trump, military ballots, from our great military.",,
Donald Trump,And they’re dumped in garbage cans-,,
Savannah Guthrie,"That is a handful… We could go all night, which we won’t.",,
Donald Trump,"No, no, it’s happening every day.",,
Savannah Guthrie,"But, we could go all night, one by one.",,
Savannah Guthrie,"A single case, a single day.",,
Savannah Guthrie,You’re talking about 150 million votes.,,
Savannah Guthrie,"Your own FBI director says, there is no evidence of widespread fraud.",,
Donald Trump,"Oh, really?",,
Donald Trump,"Well, then he’s not doing a very good job.",,
Donald Trump,All you have to do is pick up the papers every day.,,
Donald Trump,"50,000 in Ohio, the great state of Ohio.",,
Donald Trump,"50,000 in another location, I think North Carolina.",,
Donald Trump,"500,000 applications in Virginia.",,
Donald Trump,"No, no, there’s a tremendous problem.",,
Donald Trump,"But let me just tell you, they talk about the peaceful transfer, right?",,
Donald Trump,They spied on my campaign and they got caught.,,
Donald Trump,"And they spied heavily, on my campaign.",,
Donald Trump,And they tried to take down a duly elected sitting president.,,
Donald Trump,"And then, they talk about, “Will you accept a peaceful transfer?” And the answer is, yes, I will.",,
Donald Trump,But I want it to be an honest election.,,
Donald Trump,And so does everybody else.,,
Donald Trump,"When I see thousands of ballots dumped in a garbage can, and they happen to have my name on it?",,
Donald Trump,I’m not happy about that.,,
Savannah Guthrie,"Okay, but just… Those are case, there is no, there is in fact, no evidence of widespread fraud.",,
Savannah Guthrie,And you are sowing doubt about our democracy.,,
Donald Trump,"Could I ask you, how can you say that?",,
Savannah Guthrie,Our democracy.,,
Donald Trump,How can you say that?,,
Donald Trump,You do read newspapers?,,
Savannah Guthrie,I do.,,
Donald Trump,You do watch the news?,,
Savannah Guthrie,"Yes, I do.",,
Donald Trump,"I know you read the news, but do you watch it?",,
Savannah Guthrie,I do.,,
Donald Trump,"Because, every day, they’re talking about ballots that are corrupt, that are fraudulent.",,
Savannah Guthrie,And millions that are-,,
Donald Trump,Sure.,,
Savannah Guthrie,… being processed right now.,,
Donald Trump,"Sure, sure.",,
Donald Trump,But you can win a race… Take a look at me.,,
Donald Trump,You can win a race by 1%.,,
Savannah Guthrie,"So why are you laying the groundwork for that, right now?",,
Donald Trump,"I’m not, I don’t want that to happen.",,
Savannah Guthrie,"It’s like, if I go play tennis with my husband and I say, ” My ankle is hurting right now.”",,
Donald Trump,You know what?,,
Donald Trump,I don’t want that to happen.,,
Donald Trump,Savannah.,,
Donald Trump,I want it to be clean.,,
Savannah Guthrie,Okay.,,
Donald Trump,"And I want… I really feel we’re going to win, but I want this to be clean.",,
Savannah Guthrie,Let’s get to questions.,,
Donald Trump,"But it’s sort of ironic that you, and them, talk about the peaceful transfer when I spent three and a half years fighting off these maniacs.",,
Donald Trump,"And now, it turns out, everything’s there.",,
Donald Trump,"That they were the ones that dealt with Russia, and it’s too bad.",,
Savannah Guthrie,Okay.,,
Donald Trump,"Peaceful transfer, I absolutely want that.",,
Donald Trump,"But ideally, I don’t want to transfer, because I want to win.",,
Savannah Guthrie,Yes.,,
Savannah Guthrie,"And I think that, your words will probably reassure some folks.",,
Savannah Guthrie,Let’s get to our first voter.,,
Savannah Guthrie,We’ve got Jacqueline Lugo.,,
Savannah Guthrie,"Now she is, I told you, this audience is truly split between y’all.",,
Savannah Guthrie,"You are leaning Biden, she voted for Clinton in 2016.",,
Savannah Guthrie,She’s registered as an Independent.,,
Savannah Guthrie,"Jacqueline, what’s your question for the President?",,
Savannah Guthrie,"And hold the mic up close, and take off your mic, because it’s hard to hear, out here.",,
Donald Trump,Sure.,,
Audience Member 12,Good evening.,,
Donald Trump,How are you?,,
Audience Member 12,Welcome to Miami.,,
Donald Trump,"Thank you very much, it’s beautiful.",,
Audience Member 12,"Mr. President, if you knew COVID-19, as you told Bob Woodward in February-",,
Donald Trump,As what?,,
Audience Member 12,"As you told Bob Woodward in February, was airborne and deadlier than the flu, why did you only put in place a travel ban from China, and not put in place other measures mitigating the spread of COVID-19, potentially saving tens of thousands of American lives?",,
Donald Trump,"Well, I did put it in very early, as you know, Joe Biden was two months behind me, and he called me xenophobic and racist and everything else, because I put it in.",,
Donald Trump,And it turned out that I was 100% right.,,
Donald Trump,"I also put it on Europe, very early, because I saw there was a lot of infection in Europe.",,
Donald Trump,And it’s sort of an amazing question.,,
Donald Trump,"And I appreciate the question, and respect the question, but the news doesn’t get out the right answer.",,
Donald Trump,Because I put on a travel ban far earlier than Dr. Fauci thought it was necessary.,,
Donald Trump,Who I like.,,
Donald Trump,Far earlier than the scientists… I was actually the only one that wanted to put it on.,,
Donald Trump,"And I did it, actually against the advice of a lot of people, including Nancy Pelosi who had no clue what she was doing.",,
Donald Trump,"And, Biden.",,
Donald Trump,"When I put on the travel ban… You know, I put it on in January.",,
Donald Trump,The end of January.,,
Donald Trump,"When I put on the travel ban Joe Biden, and others, said, “This is ridiculous.",,
Donald Trump,"You don’t do that.” Well, Dr. Fauci said, I saved thousands and thousands of lives.",,
Savannah Guthrie,Did you [crosstalk 00:25:52]-,,
Donald Trump,"I was early, I was extremely early, when I put on the travel ban.",,
Savannah Guthrie,"Can I ask you, did your National Security Advisor, on January 28th in the Oval Office, warn you that this would be the greatest national security risk of your administration?",,
Donald Trump,"I read that, but no, he didn’t.",,
Savannah Guthrie,"He didn’t say it, or you don’t remember?",,
Donald Trump,"I read it… I read it, someplace.",,
Donald Trump,"Maybe Woodward said it, or something.",,
Donald Trump,"But no, he did not say that.",,
Donald Trump,"But, I knew it was a big threat.",,
Donald Trump,"At the same time, I don’t want to panic this country.",,
Donald Trump,"I don’t want to go out and say, “Everybody’s going to die.",,
Donald Trump,Everybody’s going to-”,,
Savannah Guthrie,Isn’t there a middle ground?,,
Donald Trump,Okay?,,
Savannah Guthrie,You don’t have to mislead-,,
Donald Trump,"No, there’s not a middle ground.",,
