speaker,minute,text
Kamala Harris,08:02,"Thank you. So I want to ask the American people, how calm were you when you were panicked about where you were going to get your next roll of toilet paper? How calm were you when your kids were sent home from school and you didn’t know when they could go back? How calm were you-"
Susan Page,08:15,Thank you-
Kamala Harris,08:15,… when your children-
Susan Page,08:16,"Thank you, Senator Harris-"
Kamala Harris,08:18,… couldn’t see your parents because you were afraid they could kill them.
Susan Page,08:20,"Let’s give Vice President Pence a chance to respond. Vice President Pence, you have one minute to respond."
Mike Pence,08:23,"There’s not a day gone by that I haven’t thought of every American family that’s lost a loved one. And I want all of you to know that you’ll always be in our hearts and in our prayers. But when you say what the American people have done over these last eight months, hasn’t worked, that’s a great disservice to the sacrifices the American people have made-"
Kamala Harris,08:44,I’m referring to the president-
Mike Pence,08:45,"But the reality… If I may finish, Senator. The reality is Dr. Fauci said everything that he told the president in the Oval Office, the president told the American. Now President Trump, I will tell you, has boundless confidence in the American people, and he always spoke with confidence that we’d get through this together. But when you say it hasn’t worked… When Dr. Fauci, and Dr. Birx, and our medical experts came to us in the second week of March, they said, if the president didn’t take the unprecedented step of shutting down roughly half of the American economy, that we could lose 2.2 million Americans. That’s the reality."
Susan Page,09:22,"Thank you. Thank you, Vice President Pence-"
Mike Pence,09:22,"They also said to us, if we did everything right, Susan, we could still lose more than 200,000 Americans."
Susan Page,09:27,Vice President Pence-
Mike Pence,09:28,"One life lost is too many, Susan. But the American people, I believe, deserve credit for the sacrifices that they have made, putting the health of their family and their neighbors first, our doctors, our nurses, our first responders."
Susan Page,09:41,"Thank you, Vice President Pence."
Mike Pence,09:42,And I’m going to speak up on behalf of what the American people have done.
Susan Page,09:45,"Vice President Pence, you were in the front row in a Rose Garden event 11 days ago, at what seems to have been a super spreader event for senior administration and congressional officials. No social distancing, few masks, and now a cluster of coronavirus cases among those who were there. How can you expect Americans to follow the administration…"
Susan Page,10:03,How can you expect Americans to follow the administration’s safety guidelines to protect themselves from COVID when you at the White House have not been doing so?
Mike Pence,10:11,"Well, the American people have demonstrated over the last eight months, that when given the facts, they’re willing to put the health of their families and their neighbors and people they don’t even know first. President Trump and I have great confidence in the American people and their ability to take that information and put it into practice. In the height of the epidemic when we were losing a heartbreaking number of 2,500 Americans a day, we surged resources to New Jersey and New York and New Orleans and Detroit. We told the American people what needed to be done, and the American people made the sacrifices. When the outbreak in the Sun Belt happened this summer, again, Americans stepped forward. But the reality is the work of the President of the United States goes on. A vacancy on the Supreme Court of the United States has come upon us, and the President introduced Judge Amy Coney Barrett."
Susan Page,11:05,"Yes, thank you. Thank you, Vice President."
Mike Pence,11:07,"If I may say, that Rose Garden event, been a great deal of speculation about it. My wife, Karen and I were there and honored to be there. Many of the people who were at that event, Susan, actually were tested for Coronavirus, and it was an outdoor event, which all of our scientists regularly and routinely advise. The difference here is President Trump and I trust the American people to make choices in the best interest of their health. Joe Biden and Kamala Harris consistently talk about mandates, and not just mandates with the Coronavirus, but a government takeover of healthcare, the Green New Deal, all government control. We’re about freedom and respecting the freedom of the American people."
Kamala Harris,11:48,Let’s talk about respecting the American people. You respect the American people when you tell them the truth. You respect the American people when you have the courage to be a leader.
Mike Pence,11:58,Which we’ve always done.
Kamala Harris,11:58,"Speaking of those things that you may not want people to hear, but they need to hear so they can protect themselves. But this administration stood on information that, if you had as a parent, if you had as a worker, knowing you didn’t have enough money saved up, and now you’re standing in a food line because of the ineptitude of a administration that was unwilling to speak the truth to the American people. So let’s talk about caring about the American people. The American people have had to sacrifice far too much because of the incompetence of this administration. It is asking too much of the people-"
Mike Pence,12:33,"Susan, we talked about this."
Kamala Harris,12:34,It is asking too much of the people. That they would not be equipped with the information they need to help themselves to protect their parents and their children.
Susan Page,12:42,"I’m sorry. Kamala Harris, Senator Harris, I mean, I’m sorry."
Kamala Harris,12:46,"That’s fine, I’m Kamala."
Susan Page,12:47,"No, no, you’re Senator Harris to me. For life to get back to normal, Dr. Anthony Fauci and other experts say that most of the people who can be vaccinated need to be vaccinated. But half of Americans now say they wouldn’t take a vaccine if it was released now. If the Trump administration approves a vaccine before or after the election, should Americans take it, and would you take it?"
Kamala Harris,13:11,"If the public health professionals, if Dr. Fauci, if the doctors tell us that we should take it, I’ll be the first in line to take it, absolutely. But if Donald Trump tells us that we should take it, I’m not taking it."
Susan Page,13:24,"Vice President Pence, there’ve been a lot of repercussions from this pandemic. In recent days, the President’s diagnosis of COVID-19 has underscored the importance of the job that you hold and that you are seeking. That’s our second topic tonight. It’s the role of the Vice President. One of you will make history on January 20th. You will be the Vice President to the oldest President the United States has ever had. Donald Trump will be 74 years old on inauguration day. Joe Biden will be 78 years old. That already has raised concerns among some voters, concerns that have been sharpened by President Trump’s hospitalization in recent days. Vice President Pence, have you had a conversation or reached an agreement with President Trump about safeguards or procedures when it comes to the issue of presidential disability? And if not, do you think you should? You have two minutes without interruption."
Mike Pence,14:20,"Well, Susan, thank you. Although, I would like to go back."
Susan Page,14:23,I think we need to move on to the issue of vice presidency.
Mike Pence,14:28,"Well, thank you, but I would like to go back because the reality is that we’re going to have a vaccine, Senator, in record time. In unheard of time, in less than a year. We have five companies in phase three clinical trials. And we’re right now producing tens of millions of doses. So the fact that you continue to undermine public confidence in a vaccine, if the vaccine emerges during the Trump administration, I think is unconscionable. And Senator, I just ask you, stop playing politics with people’s lives. The reality is that we will have a vaccine, we believe, before the end of this year. And it will have the capacity to save countless American lives. And your continuous undermining of confidence in a vaccine is just, it’s unacceptable. And let me also say, the reality is, when you talk about failure in this administration, we actually do know what failure looks like in a pandemic."
Mike Pence,15:29,"It was 2009. The Swine flu arrived in the United States. Thankfully, it ended up not being as lethal as the Coronavirus. But before the end of the year, when Joe Biden was Vice President of the United States, not seven and a half million people contracted the Swine flu, 60 million Americans contracted the Swine flu. If the Swine flu had been as lethal as the Coronavirus in 2009 when Joe Biden was Vice President, we would have lost 2 million American lives. His own chief of staff, Ron Klain would say last year that it was pure luck that they did, “Everything possible wrong.” And we learned from that. They left the strategic national stockpile empty. They left an empty and hollow plan, but we still learn from it, and I think the American people, I’m going to say again, can be proud of what we have done. And Senator, please stop undermining confidence in a vaccine."
Susan Page,16:32,"Senator Harris, let me ask you the same question that I asked her Vice President Pence, which is, have you had a conversation or reached an agreement with Vice President Biden about safeguards or procedures when it comes to the issue of presidential disability? And if not, and if you win the election next month, do you think you should? You have two minutes uninterrupted."
Kamala Harris,16:53,"Let me tell you first of all, the day I got the call from Joe Biden, it was actually a Zoom call, asking me to serve with him on this ticket was probably one of the most memorable days of my life. I thought about my mother, who came to the United States at the age of 19, gave birth to me at the age of 25 at Kaiser Hospital in Oakland, California. And the thought that I’d be sitting here right now, I know, would make her proud. And she must be looking down on this. Joe and I were raised in a very similar way. We were raised with values that are about hard work, about the value and the dignity of public service, and about the importance of fighting for the dignity of all people. And I think Joe asked me to serve with him because I have a career that included being elected the first woman District Attorney of San Francisco, where I created models of innovation for law enforcement, in terms of reform of the criminal justice system."
Kamala Harris,17:58,"I was elected the first woman of color, and black woman to be elected Attorney General of the state of California, where I ran the second largest department of justice in the United States. Second only to the United States Department of Justice. And there, I took on everything from transnational criminal organizations, to the big banks that were taking advantage of homeowners, to for-profit colleges that were taking advantage of veterans. And then of course, now I serve in the United States Senate as only the second black woman ever elected to the United States Senate. I serve on the Senate Intelligence Committee where I’ve been in regular receipt of classified information about threats to our nation in hotspots around the world. I’ve traveled the world, I’ve met with our soldiers in war zones. And I think Joe has asked me to serve with him because he knows that we share a purpose, which is about lifting up the American people. And after the four years that we have seen of Donald Trump unifying our country around our common values and principles."
Susan Page,18:58,"Thank you, Senator Harris. Neither President Trump, nor Vice President Biden has released a sort of detailed health information that had become the modern norm until the 2016 election. And in recent days, President Trump’s doctors have given misleading answers, or refused to answer basic questions about his health. And my question to each of you in turn is, is this information voters deserve to know? Vice President Pence, would you like to go first?"
Mike Pence,19:26,"Well, Susan, thank you. And let me say on behalf of the President and the First Lady, how moved we’ve all been by the outpouring of prayers and concern for the President. And I do believe it’s emblematic of the prayers and the concern that have ushered forth for every American impacted by the Coronavirus. But the care of the President received at Walter Reed Hospital, the White House doctors was exceptional. And the transparency that they practiced all along the way will continue. The American people have a right to know about-"
Mike Pence,20:03,"… they will continue. The American people have a right to know about the health and well-being of their president, and we’ll continue to do that. But I’m just extremely grateful and was more than a little moved by the broad and bipartisan support. And Senator, I want to thank you and Joe Biden for your expressions and genuine concern. And I also want to congratulate you, as I did on that phone call, on the historic nature of your nomination."
Kamala Harris,20:29,Thank you.
Mike Pence,20:30,"I never expected to be on this stage four years ago, so I know the feeling, but the reality is we’ve got an election before the American people in the midst of this challenging year and the stakes have never been higher, but I think the choice has never been here."
Susan Page,20:46,"Thank you, Vice President. I want to give Senator Harris a chance to respond to the same question I asked, which is, do voters have a right to know more detailed health information about presidential candidates and especially about presidents, especially when they’re facing some kind of challenge?"
Kamala Harris,21:01,"Absolutely. And that’s why Joe Biden has been so incredibly transparent. And certainly by contrast that the President has not, both in terms of health records, but also let’s look at taxes. We now know because of great investigative journalism that Donald Trump paid $750 in taxes. When I first heard about it, I literally said, “You mean $750,000?” And it was like no, $750. We now know Donald Trump owes and is in debt for $400 million. And just so everyone is clear, when we say in debt, it means you owe money to somebody. And it’d be really good to know who the President of the United States, the commander-in-chief owes money to because the American people have a right to know what is influencing the President’s decisions. And is he making those decisions on the best interest of the American people, of you or self-interest?"
Kamala Harris,22:01,"So, Susan, I’m glad you asked about transparency because it has to be across the board. Joe has been incredibly transparent over many, many years. The one thing we all know about Joe, he puts it all out there. He is honest, he is forthright, but Donald Trump on the other hand has been about covering up everything."
Mike Pence,22:22,"Susan, Susan-"
Susan Page,22:22,"Thank you, Senator Harris. I want to give you a chance to respond, Vice President."
Mike Pence,22:25,"Well, look, I respect the fact that Joe Biden spent 47 years in public life. I respect your public service as well."
Kamala Harris,22:33,Thank you.
Mike Pence,22:33,"The American people have a president who was a businessman, he’s a job creator. Who’s paid tens of millions of dollars in taxes, payroll taxes, property taxes. He’s created tens of thousands of American jobs. And the President said those public reports are not accurate. And the President’s also released literally stacks of financial disclosures the American people can review just as the law allows. But the distinction here is that Joe Biden, 47 years in public service compared to President Donald Trump, who brought all of that experience four years ago-"
Susan Page,23:10,Thank you Vice President-
Mike Pence,23:11,"… and turned this economy around by cutting taxes, rolling back regulations-"
Susan Page,23:15,"Thank you, Vice President Pence-"
Mike Pence,23:16,"… unleashing American energy, fighting for free and fair trade. And all of that’s on the line-"
Susan Page,23:20,Thank you Vice President Pence-
Mike Pence,23:21,… if Joe Biden and Kamala Harris are elected.
Susan Page,23:23,That’s a good segue into our third topic-
Kamala Harris,23:26,That’s a great segue.
Susan Page,23:26,"… which is about the economy. This has been another aspect of life for Americans, it’s been so affected by this coronavirus. We have a jobs crisis brewing. On Friday, we learned that the unemployment rate had declined to seven point nine percent in September, but the job growth had stalled. And that was before the latest round of layoffs and furloughs in the airline industry, at Disney, and elsewhere. Hundreds of thousands of discouraged workers have stopped looking for work. Nearly 11 million jobs that existed at the beginning of the year haven’t been replaced. Those hardest hit include Latinos, Blacks, and women. Senator Harris, the Biden, Harris campaign has proposed new programs to boost the economy. And you would pay for that new spending by raising four trillion dollars in taxes on wealthy individuals and corporations. Some economists warn that could curb entrepreneurial ventures that fuel growth and create jobs. Would raising taxes put the recovery at risk? And you have two minutes to answer uninterrupted."
Kamala Harris,24:30,"Thank you. On the issue of the economy, I think there couldn’t be a more fundamental difference between Donald Trump and Joe Biden. Joe Biden believes you measure the health and the strength of America’s economy based on the health and the strength of the American worker and the American family. On the other hand, you have Donald Trump who measures the strength of the economy based on how rich people are doing, which is why he passed a tax bill benefiting the top one percent and the biggest corporations of America, leading to a two trillion dollar deficit that the American people are going to have to pay for. On day one, Joe Biden will repeal that tax bill, he’ll get rid of it. And what he’ll do with the money is invest it in the American people."
Kamala Harris,25:17,"And through a plan that is about investing in infrastructure, something that Donald Trump said he would do, I remember hearing about some infrastructure week, I don’t think it ever happened, but Joe Biden will do that. He’ll invest in infrastructure. It’s about upgrading our roads and bridges, but also investing in clean energy and renewable energy. Joe was going to invest that money in what we need to do around innovation. There was a time when our country believed in science and invested in research and development, so that we were an innovation leader on the globe. Joe Biden will use that money to invest in education. So for example, for folks who want to go to a two-year community college, it will be free. If you come from a family that makes less than $125,000, you’ll go to a public university for free. And across the board, we’ll make sure that if you have student loan debt, it’s cut by $10,000."
Kamala Harris,26:09,"That’s how Joe Biden thinks about the economy which is, it’s about investing in the people of our country. As opposed to passing a tax bill, which had the benefit of letting American corporations go off-shore to do their business."
Susan Page,26:24,Thank you Senator Harris.
Kamala Harris,26:25,You’re welcome.
Susan Page,26:26,"Vice President Pence, your administration has been predicting a rapid and robust recovery, but the latest economic report suggests that’s not happening. Should Americans be braced for an economic comeback that is going to take not months, but a year or more? You have two minutes to answer uninterrupted."
Mike Pence,26:43,"When President Trump and I took office, America had gone through the slowest economic recovery since the Great Depression. It was when Joe Biden was vice president, they tried to tax and spend, and regulate, and bail our way back to a growing economy. President Trump cut taxes across the board. Despite what Senator Harris says, the average American family of four had $2,000 in savings in taxes. And with the rise in wages that occurred, most predominantly for blue collar, hardworking Americans, the average household income for a family of four increased by $4,000 following President Trump’s tax cuts. But America, you just heard Senator Harris tell you, on day one, Joe Biden’s going to raise your taxes. It’s really remarkable to think-"
Kamala Harris,27:28,That’s not what I said.
Mike Pence,27:29,"I mean, right after a time where we’re going through a pandemic that lost 22 million jobs at the height, we’ve already added back 11.6 million jobs because we had a president who cut taxes, rolled back regulation, unleashed American energy, fought for free and fair trade and secured four trillion dollars from the Congress of the United States to give direct payments to families, save 50 million jobs through the Paycheck Protection Program. We literally have spared no expense to help the American people and the American worker through this. Joe Biden and Kamala Harris want to raise taxes. They want to bury our economy under a two trillion dollar Green New Deal, which you were one of the original co-sponsors of in the United States Senate. They want to abolish fossil fuels and ban fracking, which would cost hundreds of thousands of Amercian jobs all across the heart land. And Joe Biden wants to go back to the economic surrender to China, that when took office, half of our international trade deficit was with China alone. And Joe Biden wants to repeal all of the tarrifs, that President Trump put into effect to fight for American jobs and American workers. Joe Biden says democracy is on the ballot. Make no mistake about it, Susan. And the American economy, the American comeback is on the ballot with four more years of growth and opportunity."
Susan Page,28:46,Thank you-
Mike Pence,28:47,"… and four more years of president Donald Trump, 2021-"
Susan Page,28:50,"Thank you, Vice President-"
Mike Pence,28:51,… is going to be the biggest economic year in the history of this country.
Susan Page,28:53,"Thank you, Vice President Pence, Senator Harris."
Kamala Harris,28:56,"Well, I mean, I thought we saw enough of it in last week’s debate, but I think this is supposed to be a debate based on fact and truth and the truth and the fact is, Joe Biden has been very clear, he will not raise taxes on anybody who makes less than $400,000 a year."
Mike Pence,29:08,He said he’s going to repeal the Trump tax cuts.
Kamala Harris,29:10,"Mr. Vice President, I’m speaking. I’m speaking."
Mike Pence,29:14,"The important [inaudible] is you said the truth. Joe Biden has said it twice in the debate last week that he’s going to repeal the Trump tax cuts. That was tax cuts that gave the average working family $2,000 in a tax break every single year-"
Kamala Harris,29:28,That is-
Mike Pence,29:28,"Senator, that’s the math."
Kamala Harris,29:30,"That is absolutely not true, [crosstalk 00:00:29:32]."
Mike Pence,29:32,Is he the only going to repeal part of the Trump tax cuts?
Kamala Harris,29:35,"If you don’t mind letting me finish, we can then have a conversation, okay?"
Mike Pence,29:39,Please.
Kamala Harris,29:39,"Okay. Joe Biden will not raise taxes on anyone who makes less than $400,000 a year. He has been very clear about that. Joe Biden will not end fracking, he has been very clear about that. Joe Biden is the one who, during the great recession was responsible for the Recovery Act that brought America back. And now that Trump-"
Kamala Harris,30:03,"… for the Recovery Act that brought America back, and now the Trump-Pence administration wants to take credit when they rode the coattails of Joe Biden’s success for the economy that they had at the beginning of their term. Of course, now the economy is a complete disaster, but Joe Biden on the one hand did that. On the other hand, you have Donald Trump who has reigned over a recession that is being compared to the Great Depression."
Kamala Harris,30:28,"On the one hand, you have Joe Biden who was responsible with President Barack Obama for the Affordable Care Act, which brought healthcare to over 20 million Americans and protected people with preexisting conditions. And what it also did is it saved those families who otherwise were going bankrupt because of hospital bills they could not afford. On the other hand, you have Donald Trump, who is in court right now, trying to get rid of-"
Mike Pence,30:54,"Susan, please [crosstalk 00:30:54]"
Susan Page,30:54,"Thank you, Senator Harris."
Kamala Harris,30:54,"… trying to get rid of the Affordable Care Act, which means that you will lose protections if you have preexisting conditions. And I just, this is very important, Susan. [crosstalk 00:31:03]"
Mike Pence,31:03,"Yes, but we need to give Vice President Pence his time."
Kamala Harris,31:06,"He interrupted me, and I’d like to just finish, please. If you have a preexisting condition, heart disease, diabetes, breast cancer, they’re coming for you. If you love someone who has a pre-existing condition [crosstalk 00:01:21], they’re coming for you. If you are under the age of 26 on your parents’ coverage, they’re coming for you."
Susan Page,31:26,"Senator Harris, thank you."
Kamala Harris,31:28,You’re welcome.
Susan Page,31:28,Let me give you a chance to respond.
Mike Pence,31:29,"Well. I hope we have a chance to talk about healthcare because Obamacare was a disaster, and the American people remember it well. And President Trump and I have a plan to improve healthcare and protect preexisting conditions for every American. But look, Senator Harris, you’re entitled to your own opinion, but you’re not entitled to your own facts. You yourself said on multiple occasions when you were running for president, that you would ban fracking. Joe Biden looked at a supporter in the eye and pointed and said, “I guarantee, I guarantee that we will abolish fossil fuels.”"
Mike Pence,32:06,"They have a $2 trillion version of the Green New Deal, Susan, that your newspaper, USA Today, said really wasn’t that very different from the original Green New Deal. More taxes, more regulation, banning fracking, abolishing fossil fuel, crushing American energy and economic surrender to China is a prescription for economic decline. President Trump and I will keep America growing, the V-shape recovery that’s underway right now will continue with four more years of President Donald Trump [crosstalk 00:32:37]"
Susan Page,32:37,"Thank you very much Vice President Pence. Once again, you’ve provided the perfect segue to a new topic, which is climate change. And Vice President Pence, I’d like to pose the first question to you. This year, we’ve seen record-setting hurricanes in the South. Another one, Hurricane Delta, is now threatening the Gulf, and we have seen record-setting wildfires in the West. Do you believe as the scientific community has concluded, that man-made climate change has made wildfires bigger, hotter, and more deadly and have made hurricanes wetter, slower and more damaging? You have two minutes uninterrupted."
Mike Pence,33:15,"Thank you, Susan. Well, first, I’m very proud of our record on the environment, on conservation. According to all of the best estimates, our air and land are cleaner than any time ever recorded. Our water is among the cleanest in the world. And just a little while ago, the president signed the Outdoors Act. It’s the largest investment in our public lands and public parks in 100 years. So President Trump has made a commitment to conservation and to the environment."
Mike Pence,33:44,"Now with regard to climate change, the climate is changing, but the issue is what’s the cause and what do we do about it? President Trump has made it clear that we’re going to continue to listen to the science. Now Joe Biden and Kamala Harris would put us back in the Paris Climate Accord. They’d impose the Green New Deal, which would crush American energy, would increase the energy costs of American families in their homes, and literally would crush American jobs."
Mike Pence,34:13,"And President Trump and I believe that the progress that we have made in a cleaner environment has been happening precisely because we have a strong, free market economy. What’s remarkable is the United States has reduced CO2 more than the countries that are still in the Paris Climate Accord, but we’ve done it through innovation. And we’ve done it through natural gas and fracking, which Senator, the American people can go look at the record. I know Joe Biden says otherwise now, as you do, but the both of you repeatedly committed to abolishing fossil fuel and banning of fracking."
Mike Pence,34:53,"And so by creating the kind of American innovation, we’re actually steering toward a stronger and better environment. With regard to wildfires, President Trump and I believe that forest management has to be front and center. And even Governor Gavin Newsom from your state has agreed, we’ve got to work on forest management. And with regard to hurricanes, the National Oceanic Administration tells us that actually as difficult as they are, there are no more hurricanes today than there were 100 years ago-"
Susan Page,35:23,Thank you [crosstalk 00:35:24]
Mike Pence,35:24,… but many of the climate alarmists-
Susan Page,35:26,"Vice President Pence, I’m sorry, your time is up."
Mike Pence,35:26,… use hurricanes and wildfires to try and sell the goods of a Green New Deal. And President Trump and I are going to always put-
Susan Page,35:33,"Thank you, Vice President Pence."
Mike Pence,35:34,… American jobs and American workers first.
Susan Page,35:36,"Senator Harris, as the vice president mentioned, you co-sponsored the Green New Deal in Congress, but Vice President Biden said in last week’s debate that he does not support the Green New Deal. But if you look at the Biden-Harris campaign website, it describes the Green New Deal as a crucial framework. What exactly would be the stance of a Biden-Harris administration toward the Green New Deal? You have two minutes uninterrupted."
Kamala Harris,36:02,"So, first of all, I will repeat and the American people know that Joe Biden will not ban fracking. That is a fact. That is a fact. I will repeat that Joe Biden has been very clear that he thinks about growing jobs, which is why he will not increase taxes for anyone who makes less than $400,000 a year. Joe Biden’s economic plan… Moody’s, which is a reputable Wall Street firm, has said will create seven million more jobs than Donald Trump’s."
Kamala Harris,36:38,"And part of those jobs that will be created by Joe Biden are going to be about clean energy and renewable energy. Because, you see, Joe understands that the West Coast of our country is burning, including my home state of California. Joe sees what is happening on the Gulf states, which are being battered by storms. Joe has seen and talked with the farmers in Iowa whose entire crops have been destroyed because of floods."
Kamala Harris,37:07,"And so Joe believes, again, in science. I’ll tell you something, Susan, I served when I first got to the Senate on the committee that’s responsible for the environment. Do you know, this administration took the word science off the website, and then took the phrase climate change off the website? We have seen a pattern with this administration, which is they don’t believe in science. And Joe’s plan is about saying we’re going to deal with it, but we’re also going to create jobs. Donald Trump, when asked about the wildfires in California, and the question was, the science is telling us this… You know what Donald Trump said? Science doesn’t know."
Kamala Harris,37:43,"So let’s talk about who is prepared to lead our country over the course of the next four years on what is an existential threat to us as human beings. Joe is about saying we’re going to invest that in renewable energy, which is going to be about the creation of millions of jobs. We will achieve net zero emissions by 2050, carbon neutral by 2035. Joe has a plan. This has been a lot of talk from the Trump administration, and really it has been to go backward instead of forward. We will also reenter the Climate Agreement with pride."
Susan Page,38:16,"Senator Harris just said that climate change is an existential threat. Vice President Pence, do you believe that climate change poses an existential threat?"
Mike Pence,02:09,"As I said, Susan, the climate is changing. We’ll follow the science. But once again, Senator Harris is denying the fact that they’re going to raise taxes on every American. Joe Biden said twice in the debate last week, that on day one, he was going to repeal the Trump tax cuts. Those tax cuts delivered $2,000 in tax relief to the average family of four across America. And with regard to banning fracking, I just recommend that people look at the record. You yourself said repeatedly that you would ban fracking. You were the first Senate co-sponsor of the Green New Deal. And while Joe Biden denied the green new deal, Susan, thank you for pointing out. The Green New Deal is on their campaign website."
