id,text,speaker,speaker_id,audio_file,context,debate
n000151,That was the worst part of Obamacare.,Donald Trump,2,a000151,Healthcare,0
n000152,"I didn’t ask, sir.",Chris Wallace,0,a000152,Healthcare,0
n000153,"Chris, that was the worst part of Obamacare.",Donald Trump,2,a000153,Healthcare,0
n000154,You’re debating him not me.,Chris Wallace,0,a000154,Healthcare,0
n000155,Let me ask my question.,Chris Wallace,0,a000155,Healthcare,0
n000156,"Well, I’ll ask Joe.",Donald Trump,2,a000156,Healthcare,0
n000157,The individual mandate was the most unpopular aspect of Obamacare.,Donald Trump,2,a000157,Healthcare,0
n000158,Mr. President.,Chris Wallace,0,a000158,Healthcare,0
n000159,I got rid of it.,Donald Trump,2,a000159,Healthcare,0
n000160,And we will protect people.,Donald Trump,2,a000160,Healthcare,0
n000161,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",Chris Wallace,0,a000161,Healthcare,0
n000162,Go ahead.,Donald Trump,2,a000162,Healthcare,0
n000163,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate.",Chris Wallace,0,a000163,Healthcare,0
n000164,"So my question, sir, is what is the Trump healthcare plan?",Chris Wallace,0,a000164,Healthcare,0
n000165,"Well, first of all, I guess I’m debating you, not him, but that’s okay.",Donald Trump,2,a000165,Healthcare,0
n000166,I’m not surprised.,Donald Trump,2,a000166,Healthcare,0
n000167,Let me just tell you something.,Donald Trump,2,a000167,Healthcare,0
n000168,There’s nothing symbolic.,Donald Trump,2,a000168,Healthcare,0
n000169,I’m cutting drug prices.,Donald Trump,2,a000169,Healthcare,0
n000170,"I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma.",Donald Trump,2,a000170,Healthcare,0
n000171,Drug prices will be coming down 80 or 90%.,Donald Trump,2,a000171,Healthcare,0
n000172,"You could have done it during your 47 year period in government, but you didn’t do it.",Donald Trump,2,a000172,Healthcare,0
n000173,Nobody’s done it.,Donald Trump,2,a000173,Healthcare,0
n000174,So we’re cutting healthcare.,Donald Trump,2,a000174,Healthcare,0
n000175,What about pre-existing conditions?,Chris Wallace,0,a000175,Healthcare,0
n000176,All of the things that we’ve done.,Donald Trump,2,a000176,Healthcare,0
n000177,He has not done healthcare.,Joe Biden,1,a000177,Healthcare,0
n000178,I’ll give you an example.,Donald Trump,2,a000178,Healthcare,0
n000179,"Insulin, it was destroying families, destroying people, the cost.",Donald Trump,2,a000179,Healthcare,0
n000180,"I’m getting it for so cheap it’s like water, you want to know the truth.",Donald Trump,2,a000180,Healthcare,0
n000181,So cheap.,Donald Trump,2,a000181,Healthcare,0
n000182,Take a look at all of the drugs that what we’re doing.,Donald Trump,2,a000182,Healthcare,0
n000183,"Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",Donald Trump,2,a000183,Healthcare,0
n000184,"Okay, like I say, this is open discussion.",Chris Wallace,0,a000184,Healthcare,0
n000185,This is big stuff.,Donald Trump,2,a000185,Healthcare,0
n000186,"Sir, you’ll be happy.",Chris Wallace,0,a000186,Healthcare,0
n000187,"I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",Chris Wallace,0,a000187,Healthcare,0
n000188,Yes.,Joe Biden,1,a000188,Healthcare,0
n000189,And the argument that he makes and other Republicans make is that that is going to end private insurance.,Chris Wallace,0,a000189,Healthcare,0
n000190,It is not.,Joe Biden,1,a000190,Healthcare,0
n000191,If I start asking the question.,Chris Wallace,0,a000191,Healthcare,0
n000192,"That’s not what your party says, by the way.",Donald Trump,2,a000192,Healthcare,0
n000193,And it will end private insurance and create a government takeover of health.,Chris Wallace,0,a000193,Healthcare,0
n000194,It does not.,Joe Biden,1,a000194,Healthcare,0
n000195,"It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",Joe Biden,1,a000195,Healthcare,0
n000196,Anyone who qualifies for Medicaid would automatically be enrolled in the public option.,Joe Biden,1,a000196,Healthcare,0
n000197,The vast majority of the American people would still not be in that option.,Joe Biden,1,a000197,Healthcare,0
n000198,Number one.,Joe Biden,1,a000198,Healthcare,0
n000199,Number two.,Joe Biden,1,a000199,Healthcare,0
n000200,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it.",Donald Trump,2,a000200,Healthcare,0
n000201,And that gives you socialized medicine.,Donald Trump,2,a000201,Healthcare,0
n000202,"Look, hey.",Joe Biden,1,a000202,Healthcare,0
n000203,Are you saying you didn’t agree?,Donald Trump,2,a000203,Healthcare,0
n000204,I’m not going to listen to him.,Joe Biden,1,a000204,Healthcare,0
n000205,The fact of the matter is I beat Bernie Sanders.,Joe Biden,1,a000205,Healthcare,0
n000206,Not by much.,Donald Trump,2,a000206,Healthcare,0
n000207,I beat him by a whole hell of a lot.,Joe Biden,1,a000207,Healthcare,0
n000208,Not by much.,Donald Trump,2,a000208,Healthcare,0
n000209,"I’m here standing facing you, old buddy.",Joe Biden,1,a000209,Healthcare,0
n000210,If Pocahontas would have left two days early you would have lost every primary.,Donald Trump,2,a000210,Healthcare,0
n000211,All he knows how to do-,Joe Biden,1,a000211,Healthcare,0
n000212,"On Super Tuesday, you got very lucky.",Donald Trump,2,a000212,Healthcare,0
n000213,Look he’s the deal.,Joe Biden,1,a000213,Healthcare,0
n000214,I got very lucky.,Joe Biden,1,a000214,Healthcare,0
n000215,I’m going to get very lucky tonight as well.,Joe Biden,1,a000215,Healthcare,0
n000216,With what?,Donald Trump,2,a000216,Healthcare,0
n000217,And tonight I’m going to make sure.,Joe Biden,1,a000217,Healthcare,0
n000218,With what?,Donald Trump,2,a000218,Healthcare,0
n000219,"Because here’s the deal, here’s the deal.",Joe Biden,1,a000219,Healthcare,0
n000220,The fact is that everything he’s saying so far is simply a lie.,Joe Biden,1,a000220,Healthcare,0
n000221,I’m not here to call out his lies.,Joe Biden,1,a000221,Healthcare,0
n000222,Everybody knows he’s a liar.,Joe Biden,1,a000222,Healthcare,0
n000223,But you agree.,Donald Trump,2,a000223,Healthcare,0
n000224,"Joe, you’re the liar.",Donald Trump,2,a000224,Healthcare,0
n000225,You graduated last in your class not first in your class.,Donald Trump,2,a000225,Healthcare,0
n000226,"God, I want to make sure-",Joe Biden,1,a000226,Healthcare,0
n000227,"Mr. President, can you let him finish, sir?",Chris Wallace,0,a000227,Healthcare,0
n000228,"No, he doesn’t know how to do that.",Joe Biden,1,a000228,Healthcare,0
n000229,You’d be surprised.,Donald Trump,2,a000229,Healthcare,0
n000230,You’d be surprised.,Donald Trump,2,a000230,Healthcare,0
n000231,"Go ahead, Joe.",Donald Trump,2,a000231,Healthcare,0
n000232,"The wrong guy, the wrong night, at the wrong time.",Joe Biden,1,a000232,Healthcare,0
n000233,"Listen, you agreed with Bernie Sanders and the manifesto.",Donald Trump,2,a000233,Healthcare,0
n000234,"There is no manifesto, number one.",Joe Biden,1,a000234,Healthcare,0
n000235,"Please let him speak, Mr. President.",Chris Wallace,0,a000235,Healthcare,0
n000236,Number two.,Joe Biden,1,a000236,Healthcare,0
n000237,He just lost the left.,Donald Trump,2,a000237,Healthcare,0
n000238,Number two.,Joe Biden,1,a000238,Healthcare,0
n000239,You just lost the left.,Donald Trump,2,a000239,Healthcare,0
n000240,"You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",Donald Trump,2,a000240,Healthcare,0
n000241,Mr. President.,Chris Wallace,0,a000241,Healthcare,0
n000242,"I’ll tell you what, he is not for any help for people needing healthcare.",Joe Biden,1,a000242,Healthcare,0
n000243,"Who is, Bernie?",Donald Trump,2,a000243,Healthcare,0
n000244,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession.",Joe Biden,1,a000244,Healthcare,0
n000245,Number one.,Joe Biden,1,a000245,Healthcare,0
n000246,"Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away.",Joe Biden,1,a000246,Healthcare,0
n000247,He won’t ever look you in the eye and say that’s what he wants to do.,Joe Biden,1,a000247,Healthcare,0
n000248,Take it away.,Joe Biden,1,a000248,Healthcare,0
n000249,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",Donald Trump,2,a000249,Healthcare,0
n000250,He doesn’t know how.,Joe Biden,1,a000250,Healthcare,0
n000251,He doesn’t know how to do that.,Joe Biden,1,a000251,Healthcare,0
n000252,I’ve already fixed it.,Donald Trump,2,a000252,Healthcare,0
n000253,He has never offered a plan.,Joe Biden,1,a000253,Healthcare,0
n000254,We’ve already fixed it to an extent.,Donald Trump,2,a000254,Healthcare,0
n000255,"Obamacare, as you might know but probably don’t, Obamacare is no good.",Donald Trump,2,a000255,Healthcare,0
n000256,"Gentlemen, you realize if you’re both speaking at the same time.",Chris Wallace,0,a000256,Healthcare,0
n000257,Let the President.,Chris Wallace,0,a000257,Healthcare,0
n000258,"Go ahead, sir.",Chris Wallace,0,a000258,Healthcare,0
n000259,Obamacare is no good.,Donald Trump,2,a000259,Healthcare,0
n000260,We made it better and I had a choice to make very early on.,Donald Trump,2,a000260,Healthcare,0
n000261,We took away the individual mandate.,Donald Trump,2,a000261,Healthcare,0
n000262,"We guaranteed pre-existing conditions, but took away the individual mandate.",Donald Trump,2,a000262,Healthcare,0
n000263,"Listen, this is the way it is.",Donald Trump,2,a000263,Healthcare,0
n000264,"And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly?",Donald Trump,2,a000264,Healthcare,0
n000265,"If I run it badly, they’ll probably blame him, but they’ll blame me.",Donald Trump,2,a000265,Healthcare,0
n000266,"But more importantly, I want to help people.",Donald Trump,2,a000266,Healthcare,0
n000267,Okay.,Donald Trump,2,a000267,Healthcare,0
n000268,"I said, “You’ve got to run it so well.” And I just had a meeting with them.",Donald Trump,2,a000268,Healthcare,0
n000269,"They said the problem is, no matter how well you run Obamacare, it’s a disaster.",Donald Trump,2,a000269,Healthcare,0
n000270,It’s too expensive.,Donald Trump,2,a000270,Healthcare,0
n000271,"Premiums are too high, that it doesn’t work.",Donald Trump,2,a000271,Healthcare,0
n000272,So we do want to get rid of it.,Donald Trump,2,a000272,Healthcare,0
n000273,"Chris, we want to get rid of that and give something that’s cheaper and better.",Donald Trump,2,a000273,Healthcare,0
n000274,"I understand that, sir.",Chris Wallace,0,a000274,Healthcare,0
n000275,But I have to give you roughly equal time.,Chris Wallace,0,a000275,Healthcare,0
n000276,Go ahead.,Donald Trump,2,a000276,Healthcare,0
n000277,"Please let the Vice President talk, sir.",Chris Wallace,0,a000277,Healthcare,0
n000278,Good.,Donald Trump,2,a000278,Healthcare,0
n000279,He has no plan for healthcare.,Joe Biden,1,a000279,Healthcare,0
n000280,"Of course, we do.",Donald Trump,2,a000280,Healthcare,0
n000281,Please.,Chris Wallace,0,a000281,Healthcare,0
n000282,He sends out wishful thinking.,Joe Biden,1,a000282,Healthcare,0
n000283,He has Executive Orders that have no power.,Joe Biden,1,a000283,Healthcare,0
n000284,He hasn’t lowered drug costs for anybody.,Joe Biden,1,a000284,Healthcare,0
n000285,He’s been promising a healthcare plan since he got elected.,Joe Biden,1,a000285,Healthcare,0
n000286,"He has none, like almost everything else he talks about.",Joe Biden,1,a000286,Healthcare,0
n000287,He does not have a plan.,Joe Biden,1,a000287,Healthcare,0
n000288,He doesn’t have a plan.,Joe Biden,1,a000288,Healthcare,0
n000289,And the fact is this man doesn’t know what he’s talking about.,Joe Biden,1,a000289,Healthcare,0
n000290,[crosstalk 00:17:14].,Joe Biden,1,a000290,Healthcare,0
n000291,"All right, I have one final question for you.",Chris Wallace,0,a000291,Healthcare,0
n000292,Sure.,Joe Biden,1,a000292,Healthcare,0
n000293,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there.",Chris Wallace,0,a000293,Healthcare,0
n000294,You call this a distraction by the President.,Chris Wallace,0,a000294,Healthcare,0
n000295,"But, in fact, it wasn’t brought up by the President.",Chris Wallace,0,a000295,Healthcare,0
n000296,It was brought up by some of your Democratic colleagues in the Congress.,Chris Wallace,0,a000296,Healthcare,0
n000297,"So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",Chris Wallace,0,a000297,Healthcare,0
n000298,"Whatever position I take on that, that’ll become the issue.",Joe Biden,1,a000298,Healthcare,0
n000299,The issue is the American people should speak.,Joe Biden,1,a000299,Healthcare,0
n000300,You should go out and vote.,Joe Biden,1,a000300,Healthcare,0
n000301,You’re voting now.,Joe Biden,1,a000301,Healthcare,0
n000302,Vote and let your Senators know strongly how you feel.,Joe Biden,1,a000302,Healthcare,0
n000303,Are you going to pack the court?,Donald Trump,2,a000303,Healthcare,0
n000304,Vote now.,Joe Biden,1,a000304,Healthcare,0
n000305,Are you going to pack the court?,Donald Trump,2,a000305,Healthcare,0
n000306,"Make sure you, in fact, let people know, your Senators.",Joe Biden,1,a000306,Healthcare,0
n000307,He doesn’t want to answer the question.,Donald Trump,2,a000307,Healthcare,0
n000308,I’m not going to answer the question.,Joe Biden,1,a000308,Healthcare,0
n000309,Why wouldn’t you answer that question?,Donald Trump,2,a000309,Healthcare,0
n000310,You want to put a lot of new Supreme Court Justices.,Donald Trump,2,a000310,Healthcare,0
n000311,Radical left.,Donald Trump,2,a000311,Healthcare,0
n000312,"Will you shut up, man?",Joe Biden,1,a000312,Healthcare,0
n000313,"Listen, who is on your list, Joe?",Donald Trump,2,a000313,Healthcare,0
n000314,Who’s on your list?,Donald Trump,2,a000314,Healthcare,0
n000315,"Gentlemen, I think we’ve ended this-",Chris Wallace,0,a000315,Healthcare,0
n000316,This is so un-Presidential.,Joe Biden,1,a000316,Healthcare,0
n000317,He’s going to pack the court.,Donald Trump,2,a000317,Healthcare,0
n000318,He is not going to give a list.,Donald Trump,2,a000318,Healthcare,0
n000319,We have ended the segment.,Chris Wallace,0,a000319,Healthcare,0
